letter_idx,sentence,top_emotion,top_emotion_score
0,"I FLATTER, myself, dear sister, that I shall give you some pleasure in letting you know that I have safely passed the sea, though we had the ill fortune of a storm.",joy,0.967958927154541
0,"We were persuaded by the captain of the yacht to set out in a calm, and he pretended there was nothing so easy as to tide it over; but, after two days slowly moving, the wind blew so hard, that none of the sailors could keep their feet, and we were all Sunday night tossed very handsomely.",anger,0.37339890003204346
0,I never saw a man more frighted (sic) than the captain.,fear,0.9823507070541382
0,"For my part, I have been so lucky, neither to suffer from fear nor seasickness; though, I confess, I was so impatient to see myself once more upon dry land, that I would not stay till the yacht could get to Rotterdam, but went in the long-boat to Helvoetsluys, where we had voitures to carry us to the Briel.",fear,0.7772514224052429
0,I was charmed with the neatness of that little town; but my arrival at Rotterdam presented me a new scene of pleasure.,joy,0.9901397824287415
0,"All the streets are paved with broad stones, and before many of the meanest artificers doors are placed seats of various coloured marbles, so neatly kept, that, I assure you, I walked almost all over the town yesterday, _incognito_,  in my slippers without receiving one spot of dirt; and you may see the Dutch maids washing the pavement of the street, with more application than ours do our bed-chambers.",disgust,0.4438871741294861
0,"The town seems so full of people, with such busy faces, all in motion, that I can hardly fancy it is not some celebrated fair; but I see it is every day the same.",surprise,0.6989019513130188
0,'Tis certain no town can be more advantageously situated for commerce.,neutral,0.944022536277771
0,"Here are seven large canals, on which the merchants ships come up to the very doors of their houses.",neutral,0.8928142786026001
0,"The shops and warehouses are of a surprising neatness and magnificence, filled with an incredible quantity of fine merchandise, and so much cheaper than what we see in England, that I have much ado to persuade myself I am still so near it.",surprise,0.929538369178772
0,Here is neither dirt nor beggary to be seen.,disgust,0.7378792762756348
0,"One is not shocked with those loathsome cripples, so common in London, nor teased with the importunity of idle fellows and wenches, that chuse (sic) to be nasty and lazy.",disgust,0.6615444421768188
0,"The common servants, and little shop-women, here, are more nicely clean than most of our ladies; and the great variety of neat dresses (every woman dressing her head after her own fashion) is an additional pleasure in seeing the town.",joy,0.8591021299362183
0,"You see, hitherto, I make no complaints, dear sister; and if I continue to like travelling as I do at present, I shall not repent my project.",anger,0.2625758945941925
0,"It will go a great way in making me satisfied with it, if it affords me an opportunity of entertaining you.",joy,0.9399396777153015
0,But it is not from Holland that you may expect a _disinterested_ offer.,neutral,0.9113561511039734
0,"I can write enough in the stile (sic) of Rotterdam, to tell you plainly, in one word that I expect returns of all the London news.",neutral,0.9039137363433838
0,"You see I have already learnt to make a good bargain; and that it is not for nothing I will so much as tell you, I am your affectionate sister.",joy,0.6699538230895996
1,"I MAKE haste to tell you, dear Madam, that, after all the dreadful fatigues you threatened me with, I am hitherto very well pleased with my journey.",fear,0.9631620645523071
