letter_id,sentence,language,sentence_id
LTR-001,"I FLATTER, myself, dear sister, that I shall give you some pleasure in letting you know that I have safely passed the sea, though we had the ill fortune of a storm.",en,0
LTR-001,"We were persuaded by the captain of the yacht to set out in a calm, and he pretended there was nothing so easy as to tide it over; but, after two days slowly moving, the wind blew so hard, that none of the sailors could keep their feet, and we were all Sunday night tossed very handsomely.",en,1
LTR-001,I never saw a man more frighted (sic) than the captain.,en,2
LTR-001,"For my part, I have been so lucky, neither to suffer from fear nor seasickness; though, I confess, I was so impatient to see myself once more upon dry land, that I would not stay till the yacht could get to Rotterdam, but went in the long-boat to Helvoetsluys, where we had voitures to carry us to the Briel.",en,3
LTR-001,I was charmed with the neatness of that little town; but my arrival at Rotterdam presented me a new scene of pleasure.,en,4
LTR-001,"All the streets are paved with broad stones, and before many of the meanest artificers doors are placed seats of various coloured marbles, so neatly kept, that, I assure you, I walked almost all over the town yesterday, _incognito_,  in my slippers without receiving one spot of dirt; and you may see the Dutch maids washing the pavement of the street, with more application than ours do our bed-chambers.",en,5
LTR-001,"The town seems so full of people, with such busy faces, all in motion, that I can hardly fancy it is not some celebrated fair; but I see it is every day the same.",en,6
LTR-001,'Tis certain no town can be more advantageously situated for commerce.,en,7
LTR-001,"Here are seven large canals, on which the merchants ships come up to the very doors of their houses.",en,8
LTR-001,"The shops and warehouses are of a surprising neatness and magnificence, filled with an incredible quantity of fine merchandise, and so much cheaper than what we see in England, that I have much ado to persuade myself I am still so near it.",en,9
LTR-001,Here is neither dirt nor beggary to be seen.,en,10
LTR-001,"One is not shocked with those loathsome cripples, so common in London, nor teased with the importunity of idle fellows and wenches, that chuse (sic) to be nasty and lazy.",en,11
LTR-001,"The common servants, and little shop-women, here, are more nicely clean than most of our ladies; and the great variety of neat dresses (every woman dressing her head after her own fashion) is an additional pleasure in seeing the town.",en,12
LTR-001,"You see, hitherto, I make no complaints, dear sister; and if I continue to like travelling as I do at present, I shall not repent my project.",en,13
LTR-001,"It will go a great way in making me satisfied with it, if it affords me an opportunity of entertaining you.",en,14
LTR-001,But it is not from Holland that you may expect a _disinterested_ offer.,en,15
LTR-001,"I can write enough in the stile (sic) of Rotterdam, to tell you plainly, in one word that I expect returns of all the London news.",en,16
LTR-001,"You see I have already learnt to make a good bargain; and that it is not for nothing I will so much as tell you, I am your affectionate sister.",en,17
LTR-002,"I MAKE haste to tell you, dear Madam, that, after all the dreadful fatigues you threatened me with, I am hitherto very well pleased with my journey.",en,18
LTR-002,"We take care to make such short stages every day, that I rather fancy myself upon parties of pleasure, than upon the road; and sure nothing can be more agreeable than travelling in Holland.",en,19
LTR-002,"The whole country appears a large garden; the roads are well paved, shaded on each side with rows of trees, and bordered with large canals, full of boats, passing and repassing.",en,20
LTR-002,"Every twenty paces gives you the prospect of some villa, and every four hours that of a large town, so surprisingly neat, I am sure you would be charmed with them.",en,21
LTR-002,The place I am now at is certainly one of the finest villages in the world.,en,22
LTR-002,"Here are several squares finely built, and (what I think a particular beauty) the whole set with thick large trees.",en,23
LTR-002,"The _Vour-hout_ is, at the same time, the Hyde-Park and Mall of the people of quality; for they take the air in it both on foot and in coaches.",en,24
LTR-002,"There are shops for wafers, cool liquors, &c.--I have been to see several of the most celebrated gardens, but I will not teaze (sic) you with their descriptions.",en,25
LTR-002,I dare say you think my letter already long enough.,en,26
LTR-002,"But I must not conclude without begging your pardon, for not obeying your commands, in sending the lace you ordered me.",en,27
LTR-002,"Upon my word, I can yet find none, that is not dearer than you may buy it at London.",en,28
LTR-002,"If you want any India goods, here are great variety of penny-worths; and I shall follow your orders with great pleasure and exactness; being,              Dear Madam, &c. &c.",en,29
