letter_id,sentence,language,sentence_id,tsne_x,tsne_y
LTR-001,"I FLATTER, myself, dear sister, that I shall give you some pleasure in letting you know that I have safely passed the sea, though we had the ill fortune of a storm.",en,0,26.87085,6.678051
LTR-001,"We were persuaded by the captain of the yacht to set out in a calm, and he pretended there was nothing so easy as to tide it over; but, after two days slowly moving, the wind blew so hard, that none of the sailors could keep their feet, and we were all Sunday night tossed very handsomely.",en,1,3.2960467,53.969788
LTR-001,I never saw a man more frighted (sic) than the captain.,en,2,-12.055326,-7.2907424
LTR-001,"For my part, I have been so lucky, neither to suffer from fear nor seasickness; though, I confess, I was so impatient to see myself once more upon dry land, that I would not stay till the yacht could get to Rotterdam, but went in the long-boat to Helvoetsluys, where we had voitures to carry us to the Briel.",en,3,11.34205,25.104288
LTR-001,I was charmed with the neatness of that little town; but my arrival at Rotterdam presented me a new scene of pleasure.,en,4,12.250301,-21.493502
LTR-001,"All the streets are paved with broad stones, and before many of the meanest artificers doors are placed seats of various coloured marbles, so neatly kept, that, I assure you, I walked almost all over the town yesterday, _incognito_,  in my slippers without receiving one spot of dirt; and you may see the Dutch maids washing the pavement of the street, with more application than ours do our bed-chambers.",en,5,-48.198086,-2.3637056
LTR-001,"The town seems so full of people, with such busy faces, all in motion, that I can hardly fancy it is not some celebrated fair; but I see it is every day the same.",en,6,-46.428288,-2.460654
LTR-001,'Tis certain no town can be more advantageously situated for commerce.,en,7,-9.366435,-29.525251
LTR-001,"Here are seven large canals, on which the merchants ships come up to the very doors of their houses.",en,8,-64.69008,0.42174906
LTR-001,"The shops and warehouses are of a surprising neatness and magnificence, filled with an incredible quantity of fine merchandise, and so much cheaper than what we see in England, that I have much ado to persuade myself I am still so near it.",en,9,-34.199894,-18.015247
LTR-001,Here is neither dirt nor beggary to be seen.,en,10,-16.848537,-29.310425
LTR-001,"One is not shocked with those loathsome cripples, so common in London, nor teased with the importunity of idle fellows and wenches, that chuse (sic) to be nasty and lazy.",en,11,-23.57616,0.27307817
LTR-001,"The common servants, and little shop-women, here, are more nicely clean than most of our ladies; and the great variety of neat dresses (every woman dressing her head after her own fashion) is an additional pleasure in seeing the town.",en,12,-35.699173,-10.170938
LTR-001,"You see, hitherto, I make no complaints, dear sister; and if I continue to like travelling as I do at present, I shall not repent my project.",en,13,14.224189,-0.70903647
LTR-001,"It will go a great way in making me satisfied with it, if it affords me an opportunity of entertaining you.",en,14,31.395601,13.267757
